Путь,Категории,Кол-во,УЗ,Формат,Рекомендации
Прочее\%D0%A0%D0%90%D0%A1_303-%D1%80.pdf,"standard_dob: 3, standard_address: 1, payment_cvv: 1",5,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0%D0%90%D0%A1_419-%D1%80%20%D0%B4%D0%B5%D0%BD%D1%8C%20%D0%B2%D1%8B%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%B8%D0%BA%D0%B0.pdf,"standard_fio: 22, standard_email: 1, standard_address: 1, payment_cvv: 1",25,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0%D0%90%D0%A1_546-%D1%80.pdf,"standard_address: 2, payment_cvv: 2",4,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0%D0%90%D0%A1_669-%D1%80.pdf,"standard_address: 1, payment_cvv: 1",2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0%D0%90%D0%A1_715-%D1%80%20HR.pdf,"standard_fio: 1, standard_address: 1, payment_cvv: 1",3,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0%D0%90%D0%A1_766-%D1%80.pdf,"standard_address: 2, payment_cvv: 3",5,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0%D0%90%D0%A1_95-%D1%80%20%D0%9F%D1%80%D0%B5%D1%81%D1%82%D0%B8%D0%B6%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BE%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D0%B5%D0%B9.pdf,"standard_fio: 6, standard_address: 2, payment_cvv: 2",10,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0%D0%9F%D0%94%20%D0%B8%20%D0%9A%D0%9F%2015.02.10%20(2).pdf,"standard_fio: 17, standard_dob: 26, standard_address: 14, payment_cvv: 18, special_health: 10",85,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0384.pdf,"standard_dob: 1, standard_address: 2, payment_cvv: 1",4,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0386.%20%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%20%D0%B2%20%D0%BC%D0%B8%D1%80%D0%B5%20%D0%98%D0%98.pdf,"standard_fio: 12, standard_address: 1, payment_cvv: 1",14,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0502%20%D0%A4%D1%80%D0%BE%D0%BD%D1%82%D0%B8%D1%80%D1%8B%20%D0%BA%D0%B0%D1%80%D1%8C%D0%B5%D1%80%D1%8B.pdf,"standard_fio: 24, standard_dob: 1, standard_address: 2, payment_cvv: 3",30,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0545_0.pdf,"standard_address: 3, payment_cvv: 1",4,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0613%20%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B0%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D1%82%D0%B5%D0%BD%D1%86%D0%B8%D0%B9.pdf,"standard_fio: 3, standard_address: 1, payment_cvv: 3",7,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0764.pdf,"standard_dob: 1, standard_address: 2, payment_cvv: 1",4,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A0953.pdf,"standard_address: 3, payment_cvv: 3",6,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D1%81%D1%84%D0%B5%D1%80%D0%BD%D0%B0%D1%8F-%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C.pdf,"standard_dob: 1, payment_cvv: 1, special_health: 1",3,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D0%B8%D1%8E%D0%BB%D1%8C.docx,"standard_dob: 2, standard_address: 5, payment_cvv: 6",13,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D1%83.docx,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.docx,"standard_dob: 1, standard_address: 1, payment_cvv: 3",5,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\01.04.00.pdf,"standard_fio: 2, standard_address: 2, payment_cvv: 23, special_health: 3",30,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\01.04.02.pdf,"standard_address: 2, payment_cvv: 9, special_health: 3",14,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\02.04.02.pdf,"standard_fio: 3, standard_address: 1, payment_cvv: 59, special_health: 3",66,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\02.04.02_rob.pdf,"standard_fio: 2, standard_address: 4, special_health: 6",12,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\03-5-01-005.pdf,"standard_fio: 4, standard_address: 106, payment_cvv: 83, special_health: 51",244,УЗ-1,.pdf,AES-256 + RBAC + Аудит
