Путь,Категории,Кол-во,УЗ,Формат,Рекомендации
Прочее\44.04.01_sov_obr.pdf,"standard_fio: 1, standard_dob: 2, standard_address: 4, payment_cvv: 3",10,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_spanish.pdf,"standard_fio: 1, standard_address: 4, payment_cvv: 20, special_health: 1",26,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.02.pdf,"standard_address: 10, special_health: 1",11,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.03.pdf,"standard_address: 12, payment_cvv: 15, special_health: 4",31,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.04.pdf,"standard_fio: 1, standard_address: 17, payment_cvv: 10, special_health: 1",29,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44_04_02_obr_sred.pdf,"standard_address: 3, payment_cvv: 31, special_health: 1",35,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\45.04.01_International_Communication.pdf,payment_cvv: 24,24,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\45.04.01_komm.pdf,"standard_fio: 1, standard_address: 3, payment_cvv: 12, special_health: 2",18,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\45.04.01_tpimk.pdf,"standard_fio: 2, standard_address: 2, payment_cvv: 30, special_health: 1",35,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\46.04.01.pdf,"standard_fio: 8, standard_dob: 1, standard_address: 23, payment_cvv: 6, special_health: 1, special_race: 1",40,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\47.04.01.pdf,"standard_fio: 3, standard_address: 9, payment_cvv: 5, special_health: 4",21,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\47.pdf,standard_dob: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\49.03.02.pdf,"standard_fio: 6, standard_dob: 2, standard_address: 10, payment_cvv: 15",33,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\49.04.03.pdf,"standard_address: 9, payment_cvv: 30, special_health: 1",40,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\49.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\49PSMN519.pdf,"standard_fio: 1, standard_email: 19, standard_address: 6, state_passport: 1, state_inn: 1, payment_cvv: 55, special_health: 29",112,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\4a2be25626609e594edc147261ef747d.pdf,"standard_fio: 5, standard_address: 25, payment_cvv: 5, special_health: 1",36,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\4b708f12-9518-45cd-bac0-7b3ae2b4e78e.pdf,"standard_fio: 9, standard_address: 17, payment_cvv: 8, special_health: 5",39,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5-05-20_US-59_27.12.2024.pdf,"standard_fio: 15, standard_dob: 61, standard_address: 4, payment_cvv: 189, special_health: 6",275,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.1.3.pdf,"standard_dob: 1, payment_cvv: 2, special_health: 1",4,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.1.4.pdf,"standard_dob: 1, payment_cvv: 2, special_health: 2",5,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.10.1.pdf,"standard_fio: 2, standard_dob: 1, standard_address: 18, payment_cvv: 2, special_health: 10",33,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.12.1.pdf,"standard_address: 31, payment_cvv: 69, special_health: 12",112,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.2.1.pdf,"standard_fio: 1, standard_dob: 2, standard_address: 14, payment_cvv: 39, special_health: 3",59,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.2.3.pdf,"standard_fio: 1, standard_dob: 2, standard_address: 6, payment_cvv: 63, special_health: 4",76,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.2.4.pdf,"standard_fio: 1, standard_dob: 2, standard_address: 8, payment_cvv: 41, special_health: 1",53,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.2.4_org.pdf,"standard_fio: 3, standard_dob: 17, standard_address: 12, payment_cvv: 37, special_health: 4",73,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.2.5.pdf,"standard_fio: 1, standard_dob: 2, standard_address: 8, payment_cvv: 45, special_health: 4",60,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.2.6.pdf,"standard_fio: 1, standard_dob: 2, standard_address: 7, payment_cvv: 26, special_health: 7",43,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.3.1.pdf,"standard_address: 14, payment_cvv: 26, special_health: 7",47,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.3.2.pdf,"standard_address: 14, payment_cvv: 26, special_health: 7",47,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.3.5.pdf,"standard_address: 14, payment_cvv: 26, special_health: 7",47,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.5.1.pdf,"standard_fio: 20, standard_address: 32, payment_cvv: 59, special_health: 23, special_religion: 2",136,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.5.2.pdf,"standard_fio: 7, standard_address: 14, payment_cvv: 46, special_health: 21, special_religion: 1",89,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.7.1.pdf,"standard_fio: 1, standard_dob: 1, standard_address: 10, payment_cvv: 5, special_health: 5",22,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.7.2.pdf,"standard_fio: 1, standard_dob: 1, standard_address: 10, payment_cvv: 5, special_health: 5",22,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.7.7.pdf,"standard_fio: 1, standard_dob: 1, standard_address: 10, payment_cvv: 5, special_health: 5",22,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.7.8.pdf,"standard_fio: 1, standard_dob: 1, standard_address: 10, payment_cvv: 5, special_health: 5",22,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.8.1.pdf,"standard_fio: 1, standard_address: 20, payment_cvv: 36, special_health: 3",60,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.8.2.pdf,"standard_address: 19, payment_cvv: 36, special_health: 3",58,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.8.3.pdf,"standard_fio: 1, standard_address: 18, payment_cvv: 17, special_health: 4",40,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.8.7.pdf,"standard_address: 14, payment_cvv: 29, special_health: 2",45,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.8.pdf,"standard_dob: 2, standard_address: 11, payment_cvv: 25, special_health: 1",39,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.9.6_en.pdf,"standard_address: 10, payment_cvv: 28, special_health: 6",44,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5.9.6_sp.pdf,"standard_fio: 2, standard_address: 9, payment_cvv: 15",26,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\5.9.8.pdf,"standard_address: 5, payment_cvv: 5, special_health: 3",13,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\51.04.01.pdf,"standard_fio: 3, standard_address: 6, payment_cvv: 5, special_health: 4, special_religion: 2",20,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\51n.pdf,standard_dob: 6,6,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\522.pdf,"standard_fio: 6, standard_email: 1, payment_cvv: 33, special_health: 2",42,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\54.04.01.pdf,"standard_address: 3, payment_cvv: 4, special_health: 10",17,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\54.04.02.pdf,"standard_fio: 1, standard_address: 4, payment_cvv: 4, special_health: 2",11,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5487d8240beaf469a1a10ee370749263.pdf,"standard_fio: 3, standard_address: 20, payment_cvv: 5, special_health: 1",29,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\5fqhsxirzo8b3s7xsukssg8sbsz05b38.pdf,"standard_fio: 5, standard_email: 1, standard_dob: 7, standard_address: 21, payment_cvv: 104, special_health: 27",165,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\6.pdf,"standard_email: 1, payment_cvv: 21",22,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\63_ffa6_7.Gizlilik%20ve%20%C3%87erez%20Politikas%C4%B1_4064465.docx,"standard_email: 3, payment_cvv: 5",8,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\66n.pdf,standard_dob: 16,16,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\6b588aa921ec0008657cb728cfce508d.pdf,"standard_fio: 4, standard_address: 22, payment_cvv: 5, special_health: 1",32,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\766.pdf,"standard_dob: 18, payment_cvv: 9",27,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\7l786rg9llt2odfq9u9zmrwunkk3k3q7.pdf,"standard_fio: 3, standard_address: 1",4,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\8. Индексация Расп РФ.pdf,"payment_cvv: 3965, special_health: 7",3972,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\82174ac3fa46f97441160bfa3b5fef76.pdf,"standard_fio: 6, standard_address: 24, payment_cvv: 8, special_health: 1",39,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\83124a_7c666ad59fdd470f83e349daad57df65.pdf,"standard_email: 1, payment_cvv: 2",3,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\9ld9ylp04noekda30doh1pe1qjxt7md9.pdf,"standard_dob: 1, standard_address: 1, payment_cvv: 24",26,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\AC_11082025.pdf,standard_dob: 392,392,УЗ-3,.pdf,Контроль доступа + Сверка
Прочее\AI-SANA_2603.pdf,"standard_fio: 4, standard_address: 1, payment_cvv: 11",16,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\AIC-DSU_CONTENT.pdf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\AICTE_2025.pdf,"standard_dob: 2, state_passport: 7, state_inn: 7, payment_cvv: 29",45,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\AICTE_Mandatory_Disclosure_2024_25.pdf,"standard_phone: 3, standard_email: 3, standard_dob: 23, state_passport: 8, state_inn: 7, payment_cvv: 444",488,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\APS.docx,standard_email: 1,1,УЗ-4,.docx,Контроль доступа + Сверка
Прочее\Anant-Ram-UGC.pdf,standard_dob: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Anexos_stud_conf_2021_ru.doc,"standard_fio: 1, standard_address: 2, payment_cvv: 6, special_health: 1",10,УЗ-1,.doc,AES-256 + RBAC + Аудит
Прочее\Announcement-on-the-Opening-Day-of-the-INEP-SFU-on-March-30-2024.pdf,"standard_phone: 1, standard_address: 1, payment_cvv: 1",3,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Application-Offer-Form.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Area%20studies%20and%20tourist%20destinations.pdf,"standard_phone: 1, standard_email: 2, state_passport: 1, state_inn: 1, payment_cvv: 2",7,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Aula%20Hispanica_plano_rus_2016-po-mayo.pdf,"standard_fio: 3, standard_email: 2, standard_address: 6",11,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Aula_Hispanica_plano_rus_2014-2015.pdf,"standard_fio: 11, standard_address: 10",21,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Aula_Hispanica_rus_2015.pdf,"standard_fio: 4, standard_address: 6",10,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Aula_Hispanica_vesna_2018.pdf,"standard_email: 2, standard_address: 5, payment_cvv: 4",11,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Aula_Hispánica_osen_2017.doc,"standard_fio: 6, standard_email: 2, standard_address: 7, payment_cvv: 5",20,УЗ-2,.doc,AES-256 + RBAC + Аудит
Прочее\Aula_Hispánica_osen_2018_rus.doc,"standard_fio: 1, standard_email: 2, standard_address: 2, payment_cvv: 2",7,УЗ-2,.doc,AES-256 + RBAC + Аудит
Прочее\Aula_Hispánica_osen_2019_rus.pdf,"standard_fio: 3, standard_email: 2, standard_address: 7, payment_cvv: 4, special_health: 1",17,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\Aula_Hispánica_vesna_2018_rus.doc,"standard_fio: 2, standard_email: 2",4,УЗ-4,.doc,Контроль доступа + Сверка
Прочее\Azov_conf-application.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Azov_conf-example.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Azov_conf-requirements.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\BA_JMC_brochure_2025.pdf,"state_passport: 1, state_inn: 1, payment_cvv: 9",11,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\BBA_Brochure_2025.pdf,"standard_email: 1, payment_cvv: 9",10,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\BCA_brochure_2025.pdf,"standard_email: 1, payment_cvv: 4",5,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\BCom_Brochure.pdf,"standard_email: 1, payment_cvv: 6",7,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\BDesign_brochure.pdf,"state_passport: 1, state_inn: 1, payment_cvv: 4",6,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\BGP.pdf,"standard_email: 1, payment_cvv: 8",9,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\BSC_DS_2025.pdf,"standard_email: 1, payment_cvv: 8",9,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\BSc_MSc_Basic_Science_brochure_2025.pdf,"standard_email: 1, payment_cvv: 5",6,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Bid_Bachelor-Specialist.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Bid_Magistracy.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Building_innovation_Vitoshko.pdf,"standard_phone: 1, standard_email: 1, payment_cvv: 3",5,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Business%20Spanish%20A2%20the%20order.pdf,payment_cvv: 1,1,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Business%20in%20Tourism%20and%20Hospitality.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\CMTF_oral_exam.pdf,payment_cvv: 2,2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\CNO_AULA_Hispanica.pdf,"standard_email: 6, standard_address: 1",7,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\CT_RB_2025.pdf,"standard_fio: 6, standard_address: 1, payment_cvv: 1",8,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\CVDrKased.pdf,"standard_email: 4, payment_cvv: 18",22,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Call-for-papers_2024.pdf,"standard_email: 1, payment_cvv: 11",12,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\CartaCercetatoruluiCodul-de-Conduita.pdf,"standard_dob: 2, payment_cvv: 12",14,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\CartaInformativaCongreso2025_ru.pdf,"standard_fio: 1, standard_phone: 1, standard_email: 2, standard_address: 2, payment_cvv: 6",12,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Carta_ASEM.pdf,"standard_dob: 11, payment_cvv: 80",91,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Catalogue_of_UNG_Equipment_and_Expertise_for_External_users.pdf,"standard_email: 87, payment_cvv: 24",111,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Cod_etica_2023.pdf,"standard_dob: 2, payment_cvv: 2",4,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\ConfPABCProgram_2023.pdf,"standard_fio: 1, payment_cvv: 1",2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Congreso_Anexos_rus_2025.docx,payment_cvv: 8,8,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\Course%20Syllabus%20(General%20Pedagogy).pdf,"standard_email: 1, payment_cvv: 8",9,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20Syllabus%20(Pedagogical%20Theory%20and%20Conceptions).pdf,"standard_email: 1, payment_cvv: 10",11,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20Syllabus%20(Preparation%20of%20Scientific%20Publications).pdf,"standard_email: 1, payment_cvv: 5",6,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20Syllabus%20(Vocational%20Training%20Technologies).pdf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus%20%20MATHEMATICAL%20MODELS%20OF%20PROCESS%20AND%20SYSTEMS.pdf,"standard_email: 1, payment_cvv: 4",5,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus%20(Model-analytical%20and%20Strategic%20Research%20Methods).pdf,"standard_email: 1, payment_cvv: 9",10,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus%20ADVANCED%20PROBLEMS%20OF%20MATHEMATICAL%20PHYSICS.pdf,"standard_email: 1, payment_cvv: 6",7,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus%20ASPT%20methods.pdf,"standard_email: 1, payment_cvv: 11",12,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus%20MODERN%20Computer%20Technologies%202022.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20MODERN%20NUMERICAL%20METHODS%20IN%20MATHEMATICAL%20MODELING.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20Mathematical%20models%20in%20biology.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20Sociology%20of%20the%20Internet.pdf,"standard_email: 1, payment_cvv: 31",32,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus%20sample%20(International%20standards%20for%20legal%20-%20%D0%90%D1%80%D0%B7%D1%83%D0%BC%D0%B0%D0%BD%D1%8F%D0%BD).pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20sample_Ecology%20of%20the%20city.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20sample_Environmental%20problems%20and%20environmental%20pollution.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20sample_Key%20Concepts%20in%20Urban%20and%20Cultural%20Studies.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20sample_Scientific%20research%20design%20of%20urban%20environment.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20sample_Territory%20branding.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20sample_Urban%20design%20project%204.%20Renovation%20of%20the%20urban%20environment.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20sample_Urban%20design%20project%205.%20Designing%20an%20environment%20based%20on%20the%20concept%20of%20identity.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus%20sample_Urban%20development.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Course%20syllabus_Culture%20and%20Philosophy%20of%20Ancient%20Greece%20in%20Russian%20studies%20of%20Classics_2022.pdf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus_Logical%20Argumentation%20and%20Critical%20Thinking_2022.pdf,"standard_email: 1, payment_cvv: 5",6,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus_Methodology%20of%20Social%20Sciences%20and%20Humanities_2022.pdf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus_Nedin.pdf,"standard_email: 1, payment_cvv: 2",3,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus_Religions%20%20.pdf,"standard_email: 2, payment_cvv: 1",3,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus_Semiotic%20Studies%20in%20Russia%20and%20Development%20of%20the%20Humanities%20in%20Europe_2022.pdf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Course%20syllabus_Soviet%20Science%20and%20Science%20in%20Modern%20Russia_2022.pdf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Cutting-edge%20management%20in%20hotels%20and%20hospitality%20enterprises.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\DGTU-conference-programm.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\DSUFeedbackAnalysisReport.pdf,payment_cvv: 2,2,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\DSUSampleFilledFeedbackCollected.pdf,payment_cvv: 3,3,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\DSU_City_innovation_Campus_Programs_2025.pdf,"standard_email: 1, payment_cvv: 13",14,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\DSU_Main_Campus_Programs_2025.pdf,"standard_email: 1, payment_cvv: 14",15,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\DSU_Research_Ethics_Policy_2021.pdf,standard_dob: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Der.pdf,payment_cvv: 7,7,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Donnews-Mediakit.pdf,payment_cvv: 29,29,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\EBBondarevskaia_conference-info.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\E_brochure_08022024.pdf,"standard_email: 1, payment_cvv: 3",4,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Ecology%20of%20the%20city.pdf,"standard_email: 1, payment_cvv: 10",11,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Economics%20of%20Sports.pdf,payment_cvv: 1,1,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Ecosystems.pdf,"standard_dob: 2, standard_address: 1, payment_cvv: 11",14,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Entrepreneurship%20in%20Hospitality.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Errand_RFFI-form-v2.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Excursion%20business.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\FCP_competitions-notice.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\FK_sport.pdf,"standard_fio: 1, standard_address: 11, payment_cvv: 30, special_health: 11",53,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\FZ 273 ob obrazovanii-rf.doc,"standard_fio: 89, standard_dob: 160, standard_address: 103, payment_cvv: 160, special_health: 5",517,УЗ-1,.doc,AES-256 + RBAC + Аудит
Прочее\FZ 273.rtf,"standard_fio: 30, standard_dob: 69, standard_address: 27, payment_cvv: 68",194,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Folleto_cursos_ruso1.pdf,"standard_email: 5, payment_cvv: 9",14,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Freedom%20of%20Speech%20and%20Academic%20Freedom%20Code%20of%20Practice%20-%20v3.4.pdf,"standard_email: 7, standard_dob: 3",10,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\Fundamentals%20of%20Tourism.pdf,standard_email: 1,1,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\GenerationS-info.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Ghidul_Studentului_2023.pdf,"standard_email: 1, standard_dob: 3, payment_cvv: 54",58,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Government-order_220-notice.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\Harohalli_Hostel_Student_handbook.pdf,payment_cvv: 3,3,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\HiTech_Vitoshko.pdf,"standard_phone: 2, standard_email: 1, payment_cvv: 4",7,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Highlights 18.pdf,"standard_email: 16, payment_cvv: 130",146,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\Horario_Aula_Hispanica_febrero-abril_2020.doc,"standard_email: 2, standard_address: 1, payment_cvv: 2",5,УЗ-2,.doc,AES-256 + RBAC + Аудит
Прочее\Horario_Aula_Hispanica_octubre-diciembre_2020.doc,"standard_email: 2, standard_address: 1",3,УЗ-4,.doc,Контроль доступа + Сверка
Прочее\Horario_Aula_Hispánica_marzo-junio-2021.docx,standard_email: 3,3,УЗ-4,.docx,Контроль доступа + Сверка
Прочее\How_to_get_enrolled_2025.pdf,"standard_fio: 2, standard_dob: 24, standard_address: 3, payment_cvv: 8",37,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\IDP.pdf,"standard_dob: 2, payment_cvv: 16",18,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\ID_2025.pdf,"standard_fio: 4, standard_address: 1, payment_cvv: 2, special_health: 47",54,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\INFN_AI_Strategy_2024_aggiornato.pdf,payment_cvv: 1,1,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\IVD_2__1_Gorgorova.pdf_0704d8bae0.pdf,"standard_fio: 3, standard_dob: 2, standard_address: 7, payment_cvv: 15, special_health: 1",28,УЗ-1,.pdf,AES-256 + RBAC + Аудит
